"FDAapprovedDrugs","silver(1+) ion 4-{[(pyrimidin-2-yl)azanidyl]sulfonyl}aniline,[Ag+].NC1=CC=C(C=C1)S(=O)(=O)[N-]C1=NC=CC=N1"
"FDAapprovedDrugs","(3R,3aS,6aR)-hexahydrofuro[2,3-b]furan-3-yl N-[(2S,3R)-3-hydroxy-4-[N-(2-methylpropyl)(4-aminobenzene)sulfonamido]-1-phenylbutan-2-yl]carbamate","[H][C@@]12CCO[C@]1([H])OC[C@@H]2OC(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)CN(CC(C)C)S(=O)(=O)C1=CC=C(N)C=C1"
"FDAapprovedDrugs","7-[(1R,5S)-6-amino-3-azabicyclo[3.1.0]hexan-3-yl]-1-(2,4-difluorophenyl)-6-fluoro-4-oxo-1,4-dihydro-1,8-naphthyridine-3-carboxylic acid","[H][C@@]12CN(C[C@]1([H])C2N)C1=C(F)C=C2C(=O)C(=CN(C3=C(F)C=C(F)C=C3)C2=N1)C(O)=O"
"FDAapprovedDrugs","[(1R,2S,6S,9R)-4,4,11,11-tetramethyl-3,5,7,10,12-pentaoxatricyclo[7.3.0.0^{2,6}]dodecan-6-yl]methyl sulfamate","[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2"
"FDAapprovedDrugs","methyl (1R,9R,10S,11R,12R,19R)-11-(acetyloxy)-12-ethyl-4-[(13S,15S,17S)-17-ethyl-17-hydroxy-13-(methoxycarbonyl)-1,11-diazatetracyclo[13.3.1.0^{4,12}.0^{5,10}]nonadeca-4(12),5,7,9-tetraen-13-yl]-10-hydroxy-5-methoxy-8-methyl-8,16-diazapentacyclo[10.6.1.0^{1,9}.0^{2,7}.0^{16,19}]nonadeca-2(7),3,5,13-tetraene-10-carboxylate","[H][C@@]12N(C)C3=C(C=C(C(OC)=C3)[C@]3(C[C@@H]4CN(C[C@](O)(CC)C4)CCC4=C3NC3=CC=CC=C43)C(=O)OC)[C@@]11CCN3CC=C[C@@](CC)([C@@H](OC(C)=O)[C@]2(O)C(=O)OC)[C@@]13[H]"
"FDAapprovedDrugs","methyl (1R,9R,10R,11R,12R,19R)-11-(acetyloxy)-12-ethyl-4-[(12S,14R)-16-ethyl-12-(methoxycarbonyl)-1,10-diazatetracyclo[12.3.1.0^{3,11}.0^{4,9}]octadeca-3(11),4,6,8,15-pentaen-12-yl]-10-hydroxy-5-methoxy-8-methyl-8,16-diazapentacyclo[10.6.1.0^{1,9}.0^{2,7}.0^{16,19}]nonadeca-2,4,6,13-tetraene-10-carboxylate","[H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@@](CC)([C@@H](OC(C)=O)[C@@]2(O)C(=O)OC)[C@@]13[H])[C@]1(C[C@@]2([H])CN(CC(CC)=C2)CC2=C1NC1=CC=CC=C21)C(=O)OC"
"FDAapprovedDrugs","methyl (13S,15S,17S)-13-[(1R,9R,10S,11R,12R,19R)-10-carbamoyl-12-ethyl-10,11-dihydroxy-5-methoxy-8-methyl-8,16-diazapentacyclo[10.6.1.0^{1,9}.0^{2,7}.0^{16,19}]nonadeca-2(7),3,5,13-tetraen-4-yl]-17-ethyl-17-hydroxy-1,11-diazatetracyclo[13.3.1.0^{4,12}.0^{5,10}]nonadeca-4(12),5,7,9-tetraene-13-carboxylate","[H][C@@]12N3CC[C@@]11C4=CC(=C(OC)C=C4N(C)[C@@]1([H])[C@](O)([C@H](O)[C@]2(CC)C=CC3)C(N)=O)[C@]1(C[C@]2([H])CN(C[C@](O)(CC)C2)CCC2=C1NC1=CC=CC=C21)C(=O)OC"
"FDAapprovedDrugs","methyl (1R,9R,10S,11R,12R,19R)-11-(acetyloxy)-12-ethyl-4-[(13S,15S,17S)-17-ethyl-17-hydroxy-13-(methoxycarbonyl)-1,11-diazatetracyclo[13.3.1.0^{4,12}.0^{5,10}]nonadeca-4(12),5,7,9-tetraen-13-yl]-8-formyl-10-hydroxy-5-methoxy-8,16-diazapentacyclo[10.6.1.0^{1,9}.0^{2,7}.0^{16,19}]nonadeca-2(7),3,5,13-tetraene-10-carboxylate","[H][C@@]12N3CC[C@@]11C4=CC(=C(OC)C=C4N(C=O)[C@@]1([H])[C@](O)([C@H](OC(C)=O)[C@]2(CC)C=CC3)C(=O)OC)[C@]1(C[C@]2([H])CN(C[C@](O)(CC)C2)CCC2=C1NC1=CC=CC=C21)C(=O)OC"
"FDAapprovedDrugs","(1S,3S,6S,9S,12S,14R,16R,18S,20R,21R,22S,29S,31R,32S,33R,35R,36S)-20-[(2S)-3-amino-2-hydroxypropyl]-21-methoxy-14-methyl-8,15-dimethylidene-2,19,30,34,37,39,40,41-octaoxanonacyclo[24.9.2.1³,³².1³,³³.1⁶,⁹.1¹²,¹⁶.0¹⁸,²².0²⁹,³⁶.0³¹,³⁵]hentetracontan-24-one","[H][C@@]12O[C@@]3([H])CCC4CC(=O)C[C@H]5[C@H](C[C@H]6O[C@H](C[C@@H](C)C6=C)CC[C@@H]6O[C@H](CC6=C)CC[C@@]67C[C@@H](O[C@H]1[C@@H](O6)[C@@]3([H])O4)[C@@H]2O7)O[C@H](C[C@H](O)CN)[C@@H]5OC"
"FDAapprovedDrugs","(1R,3S,5R,8R,10R,11S,12S,13R,14S)-8,12,14-trihydroxy-5-methyl-11,13-bis(methylamino)-2,4,9-trioxatricyclo[8.4.0.0^{3,8}]tetradecan-7-one","[H][C@@]12O[C@H](C)CC(=O)[C@]1(O)O[C@]1([H])[C@@H](NC)[C@@H](O)[C@@H](NC)[C@H](O)[C@@]1([H])O2"
"FDAapprovedDrugs","(1R,3R,5S,8S,13R,14S)-1-hydroxy-14-(2-hydroxypropan-2-yl)-13-methyl-4,7,10-trioxapentacyclo[6.4.1.1^{9,12}.0^{3,5}.0^{5,13}]tetradecane-6,11-dione; (1R,5S,8S,13R,14R)-1-hydroxy-13-methyl-14-(prop-1-en-2-yl)-4,7,10-trioxapentacyclo[6.4.1.1^{9,12}.0^{3,5}.0^{5,13}]tetradecane-6,11-dione","[H][C@@]12OC(=O)[C@@]34OC3C[C@@](O)(C3[C@@H](C1OC3=O)C(C)=C)[C@@]24C.[H][C@@]12C[C@@]3(O)C4[C@@H](C(OC4=O)[C@@]4([H])OC(=O)[C@]1(O2)[C@@]34C)C(C)(C)O"
"FDAapprovedDrugs","(1S,5R,13R,17S)-4-(cyclopropylmethyl)-10,17-dihydroxy-4-methyl-14-oxo-12-oxa-4-azapentacyclo[9.6.1.0¹,¹³.0⁵,¹⁷.0⁷,¹⁸]octadeca-7,9,11(18)-trien-4-ium","[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CC[N+](C)(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O"
"FDAapprovedDrugs","(1S,5R,13R,14S,17R)-4-methyl-12-oxa-4-azapentacyclo[9.6.1.0^{1,13}.0^{5,17}.0^{7,18}]octadeca-7(18),8,10,15-tetraene-10,14-diol","[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O"
"FDAapprovedDrugs","(1S,5R,13R,17R)-10-hydroxy-4-methyl-12-oxa-4-azapentacyclo[9.6.1.0^{1,13}.0^{5,17}.0^{7,18}]octadeca-7(18),8,10-trien-14-one","[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CCC2=O"
"FDAapprovedDrugs","(1S,5R,13R,17S)-10,17-dihydroxy-4-methyl-12-oxa-4-azapentacyclo[9.6.1.0^{1,13}.0^{5,17}.0^{7,18}]octadeca-7(18),8,10-trien-14-one","[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1(O)CCC2=O"
"FDAapprovedDrugs","(1S,5R,13R,17S)-10,17-dihydroxy-4-(prop-2-en-1-yl)-12-oxa-4-azapentacyclo[9.6.1.0^{1,13}.0^{5,17}.0^{7,18}]octadeca-7(18),8,10-trien-14-one","[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC=C)[C@]([H])(C4)[C@]1(O)CCC2=O"
"FDAapprovedDrugs","(1S,5R,13R,17S)-4-(cyclopropylmethyl)-10,17-dihydroxy-12-oxa-4-azapentacyclo[9.6.1.0^{1,13}.0^{5,17}.0^{7,18}]octadeca-7(18),8,10-trien-14-one","[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O"
"FDAapprovedDrugs","(1S,5R,13R,14S,17R)-10-(acetyloxy)-4-methyl-12-oxa-4-azapentacyclo[9.6.1.0^{1,13}.0^{5,17}.0^{7,18}]octadeca-7(18),8,10,15-tetraen-14-yl acetate","[H][C@@]12OC3=C(OC(C)=O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2OC(C)=O"
"FDAapprovedDrugs","(1S,5R,13R,14S,17R)-10-methoxy-4-methyl-12-oxa-4-azapentacyclo[9.6.1.0^{1,13}.0^{5,17}.0^{7,18}]octadeca-7(18),8,10,15-tetraen-14-ol","[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O"
"FDAapprovedDrugs","(1S,5R,13R,17R)-10-methoxy-4-methyl-12-oxa-4-azapentacyclo[9.6.1.0^{1,13}.0^{5,17}.0^{7,18}]octadeca-7(18),8,10-trien-14-one","[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CCC2=O"
"FDAapprovedDrugs","(1S,5R,13R,17S)-17-hydroxy-10-methoxy-4-methyl-12-oxa-4-azapentacyclo[9.6.1.0^{1,13}.0^{5,17}.0^{7,18}]octadeca-7(18),8,10-trien-14-one","[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1(O)CCC2=O"
"FDAapprovedDrugs","(1S,5R,13R,14S,17R)-10-ethoxy-4-methyl-12-oxa-4-azapentacyclo[9.6.1.0^{1,13}.0^{5,17}.0^{7,18}]octadeca-7(18),8,10,15-tetraen-14-ol","[H][C@@]12OC3=C(OCC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O"
"FDAapprovedDrugs","{[(2S,5R,6R)-6-[(azepan-1-ylmethylidene)amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptan-2-yl]carbonyloxy}methyl 2,2-dimethylpropanoate","[H]C(=N[C@@H]1C(=O)N2[C@@H](C(=O)OCOC(=O)C(C)(C)C)C(C)(C)S[C@]12[H])N1CCCCCC1"
"FDAapprovedDrugs","(2S,5R,6R)-6-[(azepan-1-ylmethylidene)amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid","[H]C(=N[C@@H]1C(=O)N2[C@@H](C(O)=O)C(C)(C)S[C@]12[H])N1CCCCCC1"
"FDAapprovedDrugs","N-[(2R,3R,4S,5R)-3,4,5,6-tetrahydroxy-1-oxohexan-2-yl]acetamide","[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO"
"FDAapprovedDrugs","[3-(2-chloro-9H-thioxanthen-9-ylidene)propyl]dimethylamine,[H]C(CCN(C)C)=C1C2=CC(Cl)=CC=C2SC2=C1C=CC=C2"
"FDAapprovedDrugs","dimethyl(3-{9-oxatricyclo[9.4.0.0^{3,8}]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-ylidene}propyl)amine","[H]C(CCN(C)C)=C1C2=CC=CC=C2COC2=CC=CC=C12"
"FDAapprovedDrugs","2-(4-{3-[2-(trifluoromethyl)-9,9a-dihydro-4aH-thioxanthen-9-ylidene]propyl}piperazin-1-yl)ethan-1-ol","[H]C(CCN1CCN(CCO)CC1)=C1C2C=C(C=CC2SC2=C1C=CC=C2)C(F)(F)F"
"FDAapprovedDrugs","1-chloro-3-ethylpent-1-en-4-yn-3-ol,[H]C(Cl)=CC(O)(CC)C#C"
"FDAapprovedDrugs","(1R,3R)-5-{2-[(1R,3aS,4E,7aR)-1-[(2R,3E,5S)-6-hydroxy-5,6-dimethylhept-3-en-2-yl]-7a-methyl-octahydro-1H-inden-4-ylidene]ethylidene}cyclohexane-1,3-diol","[H]C1CC[C@]2(C)[C@]([H])(CC[C@@]2([H])\C1=C\C=C1C[C@@H](O)C[C@H](O)C1)[C@H](C)\C=C\[C@H](C)C(O)(C)C"
"FDAapprovedDrugs","NA,[H]O[Co+]N1\C2=C(C)/C3=N/C(=C\C4=N\C(=C(C)/C5=N[C@@](C)([C@@]1([H])[C@H](CC(=O)N)[C@@]2(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]1[C@@H](O)[C@H](O[C@@H]1CO)N1C=NC2=CC(C)=C(C)C=C12)[C@@](C)(CC(N)=O)[C@@H]5CCC(=O)N)\[C@@](C)(CC(=O)N)[C@@H]4CCC(=O)N)/C(C)(C)[C@@H]3CCC(=O)N"
"FDAapprovedDrugs","(1S,16R)-9,10,21,25-tetramethoxy-15,15,30,30-tetramethyl-7,23-dioxa-15,30-diazaheptacyclo[22.6.2.2^{3,6}.1^{8,12}.1^{18,22}.0^{27,31}.0^{16,34}]hexatriaconta-3,5,8,10,12(34),18(33),19,21,24(32),25,27(31),35-dodecaene-15,30-diium diiodide","[I-].[I-].[H][C@@]12CC3=CC=C(OC4=C5C(CC[N+](C)(C)[C@]5([H])CC5=CC(OC6=C(OC)C=C(CC[N+]1(C)C)C2=C6)=C(OC)C=C5)=CC(OC)=C4OC)C=C3"
"FDAapprovedDrugs","(2-{2,3-bis[2-(triethylazaniumyl)ethoxy]phenoxy}ethyl)triethylazanium triiodide","[I-].[I-].[I-].CC[N+](CC)(CC)CCOC1=CC=CC(OCC[N+](CC)(CC)CC)=C1OCC[N+](CC)(CC)CC"
"FDAapprovedDrugs","magnesium(2+) ion sulfate,[Mg++].[O-]S([O-])(=O)=O"
"FDAapprovedDrugs","magnesium(2+) ion (2-hydroxyethyl)trimethylazanium tris(2-hydroxybenzoate),[Mg++].C[N+](C)(C)CCO.OC1=CC=CC=C1C([O-])=O.OC1=CC=CC=C1C([O-])=O.OC1=CC=CC=C1C([O-])=O"
"FDAapprovedDrugs","magnesium(2+) ion bis(2-hydroxybenzoate),[Mg++].OC1=CC=CC=C1C([O-])=O.OC1=CC=CC=C1C([O-])=O"
"FDAapprovedDrugs","nitroso,[N]=O"
"FDAapprovedDrugs","sodium (1S,10R,11S,15S)-15-methyl-14-oxotetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadeca-2,4,6-trien-5-yl sulfate","[Na+].[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=CC=C(OS([O-])(=O)=O)C=C3CC[C@@]21[H]"
"FDAapprovedDrugs","gadolinium(3+) ion disodium 2-({2-[bis(carboxylatomethyl)amino]-3-(4-ethoxyphenyl)propyl}({2-[bis(carboxylatomethyl)amino]ethyl})amino)acetate,[Na+].[Na+].[Gd+3].CCOC1=CC=C(CC(CN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O)N(CC([O-])=O)CC([O-])=O)C=C1"
"FDAapprovedDrugs","decasodium N-[(2R,3R,4R,5S,6R)-2-{[(2S,3S,4R,5R,6R)-2-carboxy-6-{[(2R,3R,4R,5R,6R)-6-{[(2R,3S,4S,5R,6R)-2-carboxy-4-hydroxy-6-{[(2R,3S,4R,5R,6S)-4-hydroxy-6-methoxy-5-(sulfonatoamino)-2-[(sulfonatooxy)methyl]oxan-3-yl]oxy}-5-(sulfonatooxy)oxan-3-yl]oxy}-5-(sulfonatoamino)-4-(sulfonatooxy)-2-[(sulfonatooxy)methyl]oxan-3-yl]oxy}-4,5-dihydroxyoxan-3-yl]oxy}-4,5-dihydroxy-6-[(sulfonatooxy)methyl]oxan-3-yl]sulfamate","[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].CO[C@H]1O[C@H](COS([O-])(=O)=O)[C@@H](O[C@@H]2O[C@H]([C@@H](O[C@H]3O[C@H](COS([O-])(=O)=O)[C@@H](O[C@@H]4O[C@@H]([C@@H](O[C@H]5O[C@H](COS([O-])(=O)=O)[C@@H](O)[C@H](O)[C@H]5NS([O-])(=O)=O)[C@H](O)[C@H]4O)C(O)=O)[C@H](OS([O-])(=O)=O)[C@H]3NS([O-])(=O)=O)[C@H](O)[C@H]2OS([O-])(=O)=O)C(O)=O)[C@H](O)[C@H]1NS([O-])(=O)=O"
"FDAapprovedDrugs","disodium (2S)-2-amino-3-[4-(4-hydroxy-3,5-diiodophenoxy)-3,5-diiodophenyl]propanoate (2S)-2-amino-3-[4-(4-hydroxy-3-iodophenoxy)-3,5-diiodophenyl]propanoate","[Na+].[Na+].N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C([O-])=O.N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C([O-])=O"
"FDAapprovedDrugs","sodium dodecyl sulfate,[Na+].CCCCCCCCCCCCOS([O-])(=O)=O"
"FDAapprovedDrugs","sodium hydrogen carbonate,[Na+].OC([O-])=O"
"FDAapprovedDrugs","sodium 2-hydroxybenzoate,[Na+].OC1=CC=CC=C1C([O-])=O"
"FDAapprovedDrugs","ammonium 2-hydroxypropanoate,[NH4+].CC(O)C([O-])=O"
"FDAapprovedDrugs","2-{[2-nitro-4-(trifluoromethyl)phenyl]carbonyl}cyclohexane-1,3-dione","[O-][N+](=O)C1=C(C=CC(=C1)C(F)(F)F)C(=O)C1C(=O)CCCC1=O"
"FDAapprovedDrugs","1-({[5-(4-nitrophenyl)furan-2-yl]methylidene}amino)imidazolidine-2,4-dione","[O-][N+](=O)C1=CC=C(C=C1)C1=CC=C(O1)C=NN1CC(=O)NC1=O"
"FDAapprovedDrugs","1-[(Z)-[(5-nitrofuran-2-yl)methylidene]amino]imidazolidine-2,4-dione","[O-][N+](=O)C1=CC=C(O1)\C=N/N1CC(=O)NC1=O"
"FDAapprovedDrugs","3-{[(5-nitrofuran-2-yl)methylidene]amino}-1,3-oxazolidin-2-one","[O-][N+](=O)C1=CC=C(O1)C=NN1CCOC1=O"
"FDAapprovedDrugs","7-nitro-5-phenyl-2,3-dihydro-1H-1,4-benzodiazepin-2-one","[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1"
"FDAapprovedDrugs","5-(2-chlorophenyl)-7-nitro-2,3-dihydro-1H-1,4-benzodiazepin-2-one","[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1"
"FDAapprovedDrugs","(2S,3R)-2,3,4-tris(nitrooxy)butyl nitrate","[O-][N+](=O)OC[C@@H](O[N+]([O-])=O)[C@H](CO[N+]([O-])=O)O[N+]([O-])=O"
"FDAapprovedDrugs","2,3-bis(nitrooxy)propyl nitrate","[O-][N+](=O)OCC(CO[N+]([O-])=O)O[N+]([O-])=O"
"FDAapprovedDrugs","1-{[(6R,7R)-7-[(2Z)-2-(2-amino-1,3-thiazol-4-yl)-2-[(1-carboxy-1-methylethoxy)imino]acetamido]-2-carboxylato-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-en-3-yl]methyl}pyridin-1-ium","[O-]C(=O)C1=C(CS[C@]2([H])[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C3=CSC(N)=N3)C(=O)N12)C[N+]1=CC=CC=C1"
"FDAapprovedDrugs","(1R,2R)-1-[(3,4-dimethoxyphenyl)methyl]-2-(3-{[5-({3-[(1R,2R)-1-[(3,4-dimethoxyphenyl)methyl]-6,7-dimethoxy-2-methyl-1,2,3,4-tetrahydroisoquinolin-2-ium-2-yl]propanoyl}oxy)pentyl]oxy}-3-oxopropyl)-6,7-dimethoxy-2-methyl-1,2,3,4-tetrahydroisoquinolin-2-ium dibenzenesulfonate","[O-]S(=O)(=O)C1=CC=CC=C1.[O-]S(=O)(=O)C1=CC=CC=C1.COC1=C(OC)C=C(C[C@@H]2C3=CC(OC)=C(OC)C=C3CC[N@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@@+]2(C)CCC3=CC(OC)=C(OC)C=C3[C@H]2CC2=CC(OC)=C(OC)C=C2)C=C1"
"FDAapprovedDrugs","5-bromo-N-(4,5-dihydro-1H-imidazol-2-yl)quinoxalin-6-amine","BrC1=C(NC2=NCCN2)C=CC2=NC=CN=C12"
"FDAapprovedDrugs","7-bromo-5-(pyridin-2-yl)-2,3-dihydro-1H-1,4-benzodiazepin-2-one","BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1"
"FDAapprovedDrugs","3-bromo-1-[4-(3-bromopropanoyl)piperazin-1-yl]propan-1-one,BrCCC(=O)N1CCN(CC1)C(=O)CCBr"
"FDAapprovedDrugs","2-(2,2-dicyclohexylethyl)piperidine","C(C(C1CCCCC1)C1CCCCC1)C1CCCCN1"
"FDAapprovedDrugs","1-(diphenylmethyl)-4-(3-phenylprop-2-en-1-yl)piperazine,C(C=CC1=CC=CC=C1)N1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1"
"FDAapprovedDrugs","2-benzyl-4,5-dihydro-1H-imidazole","C(C1=NCCN1)C1=CC=CC=C1"
"FDAapprovedDrugs","2-(naphthalen-1-ylmethyl)-4,5-dihydro-1H-imidazole","C(C1=NCCN1)C1=CC=CC2=CC=CC=C12"
"FDAapprovedDrugs","10-{1-azabicyclo[2.2.2]octan-3-ylmethyl}-10H-phenothiazine,C(C1CN2CCC1CC2)N1C2=CC=CC=C2SC2=CC=CC=C12"
"FDAapprovedDrugs","N-benzyl-N-(4,5-dihydro-1H-imidazol-2-ylmethyl)aniline","C(N(CC1=CC=CC=C1)C1=CC=CC=C1)C1=NCCN1"
"FDAapprovedDrugs","1-{[4-(1,4,8,11-tetraazacyclotetradecan-1-ylmethyl)phenyl]methyl}-1,4,8,11-tetraazacyclotetradecane","C(N1CCCNCCNCCCNCC1)C1=CC=C(CN2CCCNCCNCCCNCC2)C=C1"
"FDAapprovedDrugs","(2S)-2-amino-3-(3,4-dihydroxyphenyl)-2-methylpropanoic acid","C[C@](N)(CC1=CC(O)=C(O)C=C1)C(O)=O"
"FDAapprovedDrugs","(2S)-2-amino-3-(4-hydroxyphenyl)-2-methylpropanoic acid,C[C@](N)(CC1=CC=C(O)C=C1)C(O)=O"
"FDAapprovedDrugs","[(1S,10R,11S,15S)-15-methyl-14-oxotetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadeca-2(7),3,5-trien-5-yl]oxidanesulfonic acid","C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(OS(O)(=O)=O)=C4)[C@@H]1CCC2=O"
"FDAapprovedDrugs","(2R,3S)-2-(2,4-difluorophenyl)-3-(5-fluoropyrimidin-4-yl)-1-(1H-1,2,4-triazol-1-yl)butan-2-ol","C[C@@H](C1=NC=NC=C1F)[C@](O)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1"
"FDAapprovedDrugs","4-[(2S,3R)-3-[(3,4-dihydroxyphenyl)methyl]-2-methylbutyl]benzene-1,2-diol","C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1"
"FDAapprovedDrugs","benzyl(methyl)[(2S)-1-phenylpropan-2-yl]amine,C[C@@H](CC1=CC=CC=C1)N(C)CC1=CC=CC=C1"
"FDAapprovedDrugs","(2S)-2,6-diamino-N-[(2S)-1-phenylpropan-2-yl]hexanamide","C[C@@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CCCCN"
"FDAapprovedDrugs","4-[(2S)-1-(3,5-dioxopiperazin-1-yl)propan-2-yl]piperazine-2,6-dione","C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1"
"FDAapprovedDrugs","(1S,2R)-2-amino-1-phenylpropan-1-ol","C[C@@H](N)[C@@H](O)C1=CC=CC=C1"
"FDAapprovedDrugs","[(1R)-1-(naphthalen-1-yl)ethyl]({3-[3-(trifluoromethyl)phenyl]propyl})amine,C[C@@H](NCCCC1=CC(=CC=C1)C(F)(F)F)C1=CC=CC2=CC=CC=C12"
"FDAapprovedDrugs","(4R,7S,10S,13R,16S,19R)-19-[(2R)-2-amino-3-phenylpropanamido]-10-(4-aminobutyl)-16-benzyl-N-[(2R,3R)-1,3-dihydroxybutan-2-yl]-7-(1-hydroxyethyl)-13-(1H-indol-3-ylmethyl)-6,9,12,15,18-pentaoxo-1,2-dithia-5,8,11,14,17-pentaazacycloicosane-4-carboxamide","C[C@@H](O)[C@@H](CO)NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@H](N)CC2=CC=CC=C2)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@H](CC2=CNC3=C2C=CC=C3)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(C)O)C(=O)N1"
"FDAapprovedDrugs","(2S,3R)-2-amino-3-hydroxybutanoic acid","C[C@@H](O)[C@H](N)C(O)=O"
"FDAapprovedDrugs","(3-{[2-(2-{2-[(2S,3R)-2-[(2S,3S,4R)-4-[(2S,3R)-2-({6-amino-2-[(1S)-1-{[(2S)-2-amino-2-carbamoylethyl]amino}-2-carbamoylethyl]-5-methylpyrimidin-4-yl}formamido)-3-[(3-{[4-(carbamoyloxy)-3,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl)oxy]-3-(1H-imidazol-5-yl)propanamido]-3-hydroxy-2-methylpentanamido]-3-hydroxybutanamido]ethyl}-1,3-thiazol-4-yl)-1,3-thiazol-4-yl]formamido}propyl)dimethylsulfanium","C[C@@H](O)[C@H](NC(=O)[C@@H](C)[C@H](O)[C@@H](C)NC(=O)[C@@H](NC(=O)C1=C(C)C(N)=NC(=N1)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@H](OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)C1=CN=CN1)C(=O)NCCC1=NC(=CS1)C1=NC(=CS1)C(=O)NCCC[S+](C)C"
"FDAapprovedDrugs","(3-{[(2R,3S)-2-[(1R)-1-[3,5-bis(trifluoromethyl)phenyl]ethoxy]-3-(4-fluorophenyl)morpholin-4-yl]methyl}-5-oxo-2,5-dihydro-1H-1,2,4-triazol-1-yl)phosphonic acid","C[C@@H](O[C@H]1OCCN(CC2=NC(=O)N(N2)P(O)(O)=O)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F"
"FDAapprovedDrugs","3-{[(2R,3S)-2-[(1R)-1-[3,5-bis(trifluoromethyl)phenyl]ethoxy]-3-(4-fluorophenyl)morpholin-4-yl]methyl}-4,5-dihydro-1H-1,2,4-triazol-5-one","C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F"
"FDAapprovedDrugs","2-[(1R,2S,8S,10S,11S,13R,14R,15S,17S)-1,8-difluoro-14,17-dihydroxy-2,13,15-trimethyl-5-oxotetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadeca-3,6-dien-14-yl]-2-oxoethyl 2,2-dimethylpropanoate","C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(=O)C(C)(C)C"
